"Hospital","patient_count","unique_doctor_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","last_admission_date"
"and Gomez Lucas, Ramirez",1,1,1,17807.20,17807.25,45.0,8,2024-02-25,2024-02-25
"and Gomez Rogers, Green",1,1,1,5649.97,5649.97,38.0,9,2020-10-07,2020-10-07
and Gomez Sons,2,2,1,44566.40,22283.18,64.5,16,2021-07-23,2022-04-23
"and Gomez, Bridges Thornton",1,1,1,23818.30,23818.32,21.0,29,2021-05-16,2021-05-16
"and Gomez, Flores Dixon",1,1,1,30654.60,30654.64,34.0,17,2024-01-16,2024-01-16
"and Gomez, Hunt Carrillo",1,1,1,19925.20,19925.17,30.0,11,2024-01-27,2024-01-27
"and Gomez, Williams Walker",1,1,1,19724.20,19724.19,43.0,3,2021-10-15,2021-10-15
"and Gonzales Adams Whitney,",1,1,1,24616.20,24616.22,71.0,17,2020-01-21,2020-01-21
"and Gonzales Bailey Allen,",1,1,1,37952.10,37952.07,28.0,15,2024-04-05,2024-04-05
"and Gonzales Baker, Young",1,1,1,21288.10,21288.07,45.0,8,2021-10-06,2021-10-06
"and Gonzales Dunn, Camacho",1,1,1,35116.70,35116.71,53.0,29,2021-09-06,2021-09-06
"and Gonzales Moses, Robinson",1,1,1,22713.80,22713.80,49.0,19,2022-01-29,2022-01-29
"and Gonzales Rocha, White",1,1,1,31618.00,31617.96,82.0,28,2023-08-01,2023-08-01
"and Gonzales Washington Moyer,",1,1,1,3654.10,3654.10,67.0,25,2022-08-07,2022-08-07
"and Gonzales, Clark Johnson",1,1,1,4473.30,4473.30,59.0,18,2020-11-23,2020-11-23
"and Gonzales, Strickland Savage",1,1,1,11663.30,11663.31,38.0,10,2021-12-16,2021-12-16
"and Gonzalez Cohen, Mendoza",1,1,1,11559.10,11559.12,74.0,23,2022-12-08,2022-12-08
"and Gonzalez Davis Carroll,",1,1,1,21060.40,21060.41,84.0,16,2021-10-13,2021-10-13
"and Gonzalez Fischer, King",2,1,1,59448.10,29724.04,70.5,27,2020-02-27,2020-02-27
"and Gonzalez Ford Potter,",1,1,1,45980.20,45980.19,33.0,5,2022-07-05,2022-07-05
"and Gonzalez Garcia, Ramos",2,1,1,79295.40,39647.70,68.5,17,2021-03-17,2021-03-17
"and Gonzalez Gray, Bennett",1,1,1,162.20,162.20,65.0,17,2020-08-29,2020-08-29
"and Gonzalez Gray, Boyer",1,1,1,40149.80,40149.83,66.0,7,2021-10-21,2021-10-21
"and Gonzalez Huynh, Fleming",2,1,1,15943.90,7971.97,75.5,10,2023-06-16,2023-06-16
"and Gonzalez Jenkins, Stone",1,1,1,41531.40,41531.40,34.0,23,2023-08-06,2023-08-06
"and Gonzalez Key Lara,",1,1,1,30699.20,30699.16,85.0,29,2021-03-29,2021-03-29
"and Gonzalez Moore, Brooks",1,1,1,25497.00,25496.98,74.0,15,2022-12-23,2022-12-23
"and Gonzalez Moreno Anderson,",1,1,1,48327.50,48327.46,77.0,28,2020-07-30,2020-07-30
"and Gonzalez Noble, Cabrera",1,1,1,38987.90,38987.89,48.0,30,2020-01-13,2020-01-13
"and Gonzalez Perez Torres,",1,1,1,3339.71,3339.71,29.0,2,2020-01-27,2020-01-27
"and Gonzalez Smith, Arnold",1,1,1,38026.90,38026.85,80.0,24,2022-01-28,2022-01-28
"and Gonzalez Smith, Miller",1,1,1,3970.76,3970.76,29.0,16,2020-11-18,2020-11-18
and Gonzalez Sons,4,4,3,129406.00,32351.48,64.0,15,2019-12-15,2023-06-26
"and Gonzalez Thomas, Wall",2,1,1,24382.50,12191.24,48.0,6,2022-11-07,2022-11-07
"and Gonzalez Wilson Cooper,",1,1,1,41843.70,41843.72,52.0,5,2022-06-10,2022-06-10
"and Gonzalez, James Kelly",1,1,1,15329.00,15328.96,41.0,20,2022-07-04,2022-07-04
"and Gonzalez, Rogers Jackson",1,1,1,24478.50,24478.49,69.0,6,2019-07-20,2019-07-20
"and Gonzalez, Thomas Cooper",2,1,1,70906.50,35453.27,79.0,18,2022-02-15,2022-02-15
"and Gonzalez, Warren Moore",1,1,1,48747.60,48747.55,44.0,6,2021-12-12,2021-12-12
"and Good Willis Reid,",1,1,1,50289.40,50289.38,23.0,10,2022-11-10,2022-11-10
"and Goodman Diaz Thomas,",1,1,1,46647.70,46647.74,74.0,2,2023-08-25,2023-08-25
"and Goodwin Cruz, Johnson",1,1,1,12770.30,12770.28,57.0,7,2024-02-03,2024-02-03
"and Goodwin, Hernandez Andrade",2,1,1,82615.80,41307.90,53.5,5,2020-05-12,2020-05-12
"and Gordon Bishop, Robertson",1,1,1,13421.80,13421.84,24.0,8,2020-04-24,2020-04-24
"and Gordon Bowers Ryan,",1,1,1,21528.80,21528.85,68.0,8,2021-01-18,2021-01-18
"and Gordon Brooks Miller,",1,1,1,27562.60,27562.56,49.0,5,2020-07-19,2020-07-19
"and Gordon Clarke Simmons,",1,1,1,1604.93,1604.93,42.0,12,2023-09-06,2023-09-06
"and Gordon Lee Yang,",1,1,1,16964.10,16964.06,53.0,3,2022-12-09,2022-12-09
"and Gordon Patterson, Swanson",1,1,1,13444.10,13444.11,68.0,12,2022-12-21,2022-12-21
"and Gordon Sanchez Martinez,",1,1,1,29195.00,29195.01,27.0,14,2024-02-25,2024-02-25
"and Gordon Taylor, Lopez",1,1,1,29742.70,29742.69,76.0,20,2023-06-05,2023-06-05
"and Gordon, Hamilton Hunter",1,1,1,20077.30,20077.27,38.0,6,2021-11-17,2021-11-17
"and Gordon, Nicholson Blair",2,1,1,71669.70,35834.84,37.0,4,2019-09-11,2019-09-11
"and Gordon, Watkins Williams",1,1,1,21792.00,21791.99,43.0,22,2020-09-19,2020-09-19
"and Gordon, Wilkins Gardner",1,1,1,34480.10,34480.12,46.0,6,2022-10-31,2022-10-31
"and Gould Lopez Watts,",1,1,1,6147.97,6147.97,76.0,8,2022-01-21,2022-01-21
"and Graham Bowers, Stanley",1,1,1,4399.87,4399.87,49.0,9,2022-10-14,2022-10-14
"and Graham Flores, Carrillo",1,1,1,43114.40,43114.42,60.0,6,2021-01-02,2021-01-02
"and Graham Hart, Espinoza",1,1,1,22300.60,22300.64,37.0,5,2019-08-30,2019-08-30
"and Graham Higgins, Bell",1,1,1,22281.80,22281.77,65.0,10,2022-06-19,2022-06-19
"and Graham Jones Rojas,",1,1,1,3497.02,3497.02,71.0,19,2021-01-30,2021-01-30
"and Graham Martinez Spence,",1,1,1,2953.34,2953.34,79.0,12,2022-08-03,2022-08-03
"and Graham Moon Kelley,",2,1,1,37012.90,18506.47,21.5,29,2023-09-28,2023-09-28
"and Graham Morris, Gonzales",2,1,1,30655.50,15327.74,32.5,15,2023-02-12,2023-02-12
"and Graham, Church Ray",1,1,1,17564.60,17564.58,78.0,7,2023-06-06,2023-06-06
"and Graham, Porter Reynolds",2,1,1,72232.40,36116.21,50.0,3,2022-04-22,2022-04-22
"and Grant Hamilton Edwards,",1,1,1,2924.47,2924.47,31.0,7,2022-04-05,2022-04-05
"and Grant Johnson, Houston",1,1,1,38878.30,38878.30,69.0,24,2023-05-12,2023-05-12
"and Grant Leonard, Jones",1,1,1,13234.50,13234.53,36.0,14,2019-11-08,2019-11-08
"and Grant Morales, Wheeler",1,1,1,22447.40,22447.41,29.0,11,2023-02-15,2023-02-15
"and Grant Moses, Carpenter",1,1,1,15119.40,15119.42,55.0,20,2022-12-21,2022-12-21
and Grant Sons,1,1,1,5532.93,5532.93,66.0,29,2019-12-16,2019-12-16
"and Grant Wilkins Alexander,",1,1,1,36054.50,36054.54,20.0,2,2020-07-19,2020-07-19
"and Graves Woods Steele,",1,1,1,30171.80,30171.79,29.0,1,2023-04-14,2023-04-14
"and Graves, Humphrey Bailey",1,1,1,47031.60,47031.64,59.0,11,2023-04-01,2023-04-01
"and Graves, Roth Jackson",2,1,1,48075.70,24037.87,22.0,14,2020-01-06,2020-01-06
"and Gray Fleming Young,",2,1,1,61742.80,30871.42,17.0,14,2021-05-01,2021-05-01
"and Gray King, Mccoy",1,1,1,26754.10,26754.10,83.0,14,2021-06-02,2021-06-02
"and Gray Reynolds Fisher,",1,1,1,44319.60,44319.58,63.0,28,2019-06-22,2019-06-22
"and Gray Rogers Flores,",1,1,1,24903.60,24903.62,27.0,29,2024-04-12,2024-04-12
"and Gray Smith, Jennings",2,1,1,3980.54,1990.27,86.0,3,2021-05-31,2021-05-31
and Gray Sons,3,3,3,126046.00,42015.24,38.3,24,2022-08-13,2023-09-12
"and Gray Williams Wilkinson,",2,1,1,2446.12,1223.06,37.5,30,2021-11-29,2021-11-29
"and Gray, Patton Silva",1,1,1,8192.97,8192.97,46.0,11,2020-01-31,2020-01-31
"and Gray, Wright Barnes",1,1,1,43144.80,43144.82,42.0,6,2020-05-20,2020-05-20
"and Green Burnett, Marquez",1,1,1,32452.10,32452.12,69.0,14,2019-09-01,2019-09-01
"and Green Cooper Davis,",1,1,1,39537.10,39537.11,38.0,25,2019-12-03,2019-12-03
"and Green Garza Ware,",1,1,1,14551.90,14551.88,77.0,1,2020-06-18,2020-06-18
"and Green Guerrero Wang,",1,1,1,34056.70,34056.66,49.0,17,2021-09-27,2021-09-27
"and Green Jones, Johnson",1,1,1,25560.00,25559.99,64.0,22,2023-11-06,2023-11-06
"and Green Klein Woods,",2,1,1,1985.92,992.96,76.0,6,2024-01-24,2024-01-24
"and Green Martin Padilla,",1,1,1,23325.50,23325.52,80.0,26,2021-07-07,2021-07-07
"and Green Miller Love,",1,1,1,16470.90,16470.95,53.0,5,2023-06-23,2023-06-23
"and Green Patton, Johnson",1,1,1,21281.60,21281.64,61.0,2,2023-01-30,2023-01-30
"and Green Powell, Wood",1,1,1,26692.70,26692.68,64.0,19,2023-12-28,2023-12-28
"and Green Russell Smith,",1,1,1,1640.42,1640.42,62.0,7,2020-09-09,2020-09-09
and Green Sons,2,2,2,54065.60,27032.78,52.0,9,2019-07-02,2022-11-03
"and Green Williams Simpson,",1,1,1,17214.10,17214.05,40.0,15,2020-07-12,2020-07-12
"and Green, Kane Hammond",1,1,1,25012.60,25012.64,38.0,28,2021-05-09,2021-05-09
"and Greene Hall, Bennett",1,1,1,32004.80,32004.82,82.0,10,2024-04-02,2024-04-02
"and Greene Hicks, Oliver",1,1,1,16987.30,16987.35,30.0,28,2022-03-06,2022-03-06
"and Greene Zavala, Luna",1,1,1,13211.60,13211.56,21.0,3,2020-09-02,2020-09-02
"and Greene, Love Gonzalez",2,1,1,63691.10,31845.56,68.0,19,2019-07-25,2019-07-25
"and Greene, Rodriguez Wu",1,1,1,46534.60,46534.62,57.0,17,2020-11-20,2020-11-20
"and Greene, Yates Robinson",1,1,1,30875.00,30875.01,29.0,1,2024-02-26,2024-02-26
"and Greer Hall Harrison,",1,1,1,16985.50,16985.49,60.0,15,2023-06-12,2023-06-12
"and Greer, Cooper Parks",1,1,1,42491.50,42491.54,66.0,1,2023-04-13,2023-04-13
"and Greer, Dalton Williams",1,1,1,1499.05,1499.05,31.0,28,2021-11-29,2021-11-29
and Gregory Sons,1,1,1,28404.90,28404.88,51.0,7,2019-06-12,2019-06-12
"and Gregory Williams Park,",1,1,1,22467.70,22467.65,29.0,12,2019-11-18,2019-11-18
"and Griffin Lindsey Page,",2,1,1,49936.50,24968.26,56.5,30,2020-10-12,2020-10-12
"and Griffin Lopez Hanson,",1,1,1,5154.26,5154.26,62.0,22,2021-01-05,2021-01-05
"and Griffin Mueller, Perez",1,1,1,32010.10,32010.14,27.0,23,2021-07-25,2021-07-25
and Griffin Sons,1,1,1,7338.26,7338.26,57.0,6,2020-08-31,2020-08-31
"and Griffin Thomas, Bennett",1,1,1,40721.80,40721.77,44.0,25,2024-02-21,2024-02-21
"and Griffin Vaughn Berry,",1,1,1,32577.60,32577.64,49.0,16,2022-12-29,2022-12-29
"and Griffin, Garcia Carney",1,1,1,5922.10,5922.10,41.0,11,2019-10-29,2019-10-29
"and Griffin, Gilbert Murphy",1,1,1,10539.20,10539.25,26.0,7,2020-02-02,2020-02-02
"and Griffith Pratt, Simpson",1,1,1,7349.45,7349.45,84.0,11,2020-05-12,2020-05-12
"and Griffith Smith Ferguson,",1,1,1,34832.80,34832.83,40.0,6,2023-05-01,2023-05-01
and Griffith Sons,2,2,2,55655.00,27827.51,63.5,7,2019-08-22,2022-01-23
"and Griffith, Ray Santana",2,1,1,69810.00,34904.98,24.0,28,2023-09-22,2023-09-22
"and Grimes Bishop, Cummings",1,1,1,5353.71,5353.71,21.0,2,2019-07-21,2019-07-21
"and Grimes Reyes, Lee",1,1,1,24396.10,24396.05,78.0,28,2022-12-29,2022-12-29
and Grimes Sons,1,1,1,22284.10,22284.09,47.0,4,2022-05-07,2022-05-07
and Gross Sons,3,2,2,15609.00,5202.99,66.7,24,2019-08-22,2020-05-09
"and Gross, Coleman Gonzales",1,1,1,2674.74,2674.74,75.0,7,2021-12-23,2021-12-23
"and Gross, Herrera Clark",1,1,1,7077.01,7077.01,38.0,7,2021-03-25,2021-03-25
"and Guerrero Arellano, Garcia",1,1,1,42599.70,42599.72,31.0,16,2021-02-14,2021-02-14
"and Guerrero Calhoun Trevino,",1,1,1,20714.00,20713.97,53.0,22,2022-03-20,2022-03-20
"and Guerrero Rose, Johnson",1,1,1,8483.43,8483.43,64.0,15,2022-11-12,2022-11-12
"and Guerrero Smith, Schmidt",1,1,1,43342.50,43342.48,47.0,11,2023-05-09,2023-05-09
"and Guerrero, Lin Rodriguez",1,1,1,26447.40,26447.36,57.0,30,2020-05-03,2020-05-03
"and Gutierrez Carlson Jenkins,",1,1,1,40043.90,40043.92,74.0,3,2023-05-24,2023-05-24
"and Gutierrez Chambers Johnson,",1,1,1,45703.90,45703.87,42.0,14,2021-04-18,2021-04-18
"and Gutierrez Dennis, Carpenter",1,1,1,29615.20,29615.21,63.0,13,2021-07-12,2021-07-12
"and Gutierrez King, Evans",1,1,1,13945.90,13945.91,59.0,16,2023-01-30,2023-01-30
"and Gutierrez Pitts Hanna,",1,1,1,48737.60,48737.60,49.0,8,2021-04-27,2021-04-27
and Gutierrez Sons,3,3,3,104804.00,34934.83,36.0,27,2020-04-05,2024-03-11
"and Gutierrez, Castro Morris",1,1,1,9544.22,9544.22,48.0,1,2019-12-18,2019-12-18
"and Gutierrez, Fischer Hunter",1,1,1,16524.40,16524.43,35.0,28,2022-10-23,2022-10-23
"and Gutierrez, Gonzales Mathis",1,1,1,10236.30,10236.27,61.0,18,2020-04-09,2020-04-09
"and Gutierrez, Guerrero Moore",1,1,1,46544.50,46544.52,74.0,23,2020-09-16,2020-09-16
"and Gutierrez, Hall Diaz",1,1,1,23956.80,23956.83,58.0,2,2019-08-30,2019-08-30
"and Guzman Bell Sanchez,",2,1,1,41020.20,20510.11,69.0,17,2022-10-18,2022-10-18
"and Guzman Sanford, Jordan",1,1,1,37920.50,37920.47,79.0,4,2022-09-11,2022-09-11
"and Guzman Snyder Rose,",1,1,1,47222.40,47222.39,69.0,23,2020-04-27,2020-04-27
"and Guzman, Jones Nguyen",1,1,1,22534.00,22533.97,63.0,18,2023-08-27,2023-08-27
"and Guzman, Mann Gray",1,1,1,27543.80,27543.80,63.0,27,2023-04-21,2023-04-21
"and Haas Hernandez, Hines",1,1,1,33332.80,33332.76,24.0,2,2022-05-12,2022-05-12
"and Haas Johnson Fowler,",1,1,1,11344.90,11344.87,82.0,26,2019-06-15,2019-06-15
"and Hale Martin Lang,",1,1,1,6021.46,6021.46,46.0,30,2020-10-25,2020-10-25
"and Hale, Jefferson Hoffman",1,1,1,40868.80,40868.80,32.0,27,2024-01-30,2024-01-30
"and Hale, Johnson Rogers",1,1,1,8011.07,8011.07,62.0,25,2022-01-24,2022-01-24
"and Hale, Long Khan",1,1,1,27519.90,27519.86,43.0,20,2021-02-01,2021-02-01
"and Hale, Stewart Mullen",1,1,1,18071.60,18071.56,34.0,23,2022-02-08,2022-02-08
"and Haley Gardner Riggs,",2,1,1,14911.50,7455.73,62.5,21,2022-12-16,2022-12-16
"and Haley, Wheeler Ramos",1,1,1,4091.41,4091.41,73.0,8,2019-06-28,2019-06-28
"and Hall Adkins, Brown",1,1,1,18804.10,18804.12,55.0,15,2019-11-28,2019-11-28
"and Hall Austin Daniels,",1,1,1,6735.55,6735.55,41.0,20,2021-08-27,2021-08-27
"and Hall Ayala Rubio,",1,1,1,38536.20,38536.19,80.0,21,2022-05-20,2022-05-20
"and Hall Davis, Thomas",1,1,1,6378.41,6378.41,20.0,2,2019-09-22,2019-09-22
"and Hall Garner Bailey,",1,1,1,22935.40,22935.39,64.0,12,2019-08-23,2019-08-23
"and Hall Green Smith,",1,1,1,20631.00,20630.96,28.0,24,2021-06-06,2021-06-06
"and Hall Gutierrez Walker,",1,1,1,4366.99,4366.99,22.0,24,2019-06-25,2019-06-25
"and Hall Heath, Morris",1,1,1,19742.60,19742.64,48.0,20,2020-07-10,2020-07-10
"and Hall Johnson, Brown",1,1,1,14542.30,14542.33,40.0,24,2024-04-23,2024-04-23
"and Hall Levy Williams,",1,1,1,35909.10,35909.12,73.0,10,2021-10-07,2021-10-07
"and Hall Little Moon,",1,1,1,6549.17,6549.17,30.0,21,2019-05-11,2019-05-11
"and Hall Liu, Adams",1,1,1,27461.50,27461.52,84.0,7,2021-05-03,2021-05-03
"and Hall Sanchez Valenzuela,",1,1,1,37347.50,37347.49,56.0,20,2020-03-25,2020-03-25
"and Hall Silva, Moore",1,1,1,45756.00,45756.02,80.0,4,2022-07-18,2022-07-18
"and Hall Smith, Farrell",1,1,1,13192.90,13192.86,38.0,21,2021-11-12,2021-11-12
and Hall Sons,1,1,1,45391.50,45391.50,78.0,18,2020-10-18,2020-10-18
"and Hall Thornton Lambert,",1,1,1,14196.70,14196.71,20.0,20,2020-11-01,2020-11-01
"and Hall Torres, Bailey",2,1,1,22012.90,11006.45,61.0,9,2022-06-18,2022-06-18
"and Hall Velasquez Gordon,",1,1,1,28430.50,28430.53,52.0,29,2020-12-29,2020-12-29
"and Hall Wheeler, Fernandez",1,1,1,22290.90,22290.89,44.0,21,2021-06-28,2021-06-28
"and Hall Williamson Oliver,",1,1,1,44657.40,44657.41,42.0,27,2019-12-08,2019-12-08
"and Hall, Butler Mccall",2,1,1,71948.40,35974.21,51.5,3,2023-09-06,2023-09-06
"and Hall, Henderson Johnson",1,1,1,38346.80,38346.75,78.0,3,2019-10-01,2019-10-01
"and Hall, Henderson Jones",2,1,1,50479.10,25239.57,25.0,18,2022-06-09,2022-06-09
"and Hall, Johnson Haynes",1,1,1,13088.70,13088.66,48.0,19,2023-08-05,2023-08-05
"and Hall, Lewis Ramirez",1,1,1,16188.60,16188.64,60.0,16,2019-10-29,2019-10-29
"and Hall, Malone Adams",2,1,1,56929.40,28464.71,82.0,4,2022-07-24,2022-07-24
"and Hall, Miller Burnett",1,1,1,13757.20,13757.21,72.0,24,2021-12-08,2021-12-08
"and Hall, Roberts Cole",1,1,1,45324.80,45324.81,52.0,25,2021-10-16,2021-10-16
"and Hall, Robinson Perez",1,1,1,6729.63,6729.63,49.0,12,2022-09-24,2022-09-24
"and Hall, Townsend Patrick",1,1,1,30336.80,30336.78,22.0,29,2020-04-15,2020-04-15
"and Hall, Webb Meza",1,1,1,33588.80,33588.81,24.0,12,2020-01-13,2020-01-13
"and Hamilton Brown, Baldwin",1,1,1,46772.80,46772.79,36.0,23,2023-10-21,2023-10-21
"and Hamilton Foley, Charles",1,1,1,5241.74,5241.74,44.0,29,2023-01-29,2023-01-29
"and Hamilton Wallace, Kim",1,1,1,38949.10,38949.06,58.0,10,2019-06-06,2019-06-06
"and Hamilton, Bell Sanchez",2,1,1,26075.40,13037.71,33.5,23,2024-03-16,2024-03-16
"and Hamilton, Burns Moore",1,1,1,3705.25,3705.25,61.0,12,2021-10-29,2021-10-29
"and Hamilton, Dixon Morales",1,1,1,40970.40,40970.36,50.0,24,2020-06-22,2020-06-22
"and Hammond Cruz Nguyen,",1,1,1,5336.99,5336.99,72.0,6,2023-07-21,2023-07-21
"and Hammond Edwards Reyes,",1,1,1,8292.33,8292.33,30.0,8,2022-08-31,2022-08-31
"and Hammond Garcia Larsen,",1,1,1,11381.70,11381.74,24.0,27,2019-11-06,2019-11-06
"and Hammond Smith Ramirez,",1,1,1,19601.90,19601.93,64.0,6,2021-12-09,2021-12-09
"and Hammond, Davis Wright",1,1,1,36028.60,36028.62,82.0,3,2022-07-12,2022-07-12
"and Hancock Hill, Smith",1,1,1,19612.80,19612.78,54.0,24,2022-09-20,2022-09-20
"and Hancock, Long Rodriguez",1,1,1,19695.70,19695.66,32.0,20,2023-09-12,2023-09-12
"and Hancock, Nelson Wilson",1,1,1,3124.12,3124.12,52.0,16,2022-06-29,2022-06-29
"and Hancock, Robertson Ortiz",1,1,1,50306.50,50306.49,24.0,29,2023-05-27,2023-05-27
"and Haney Mason Hodge,",1,1,1,43105.90,43105.94,22.0,10,2022-10-07,2022-10-07
"and Hanna Thompson Page,",1,1,1,47022.80,47022.78,64.0,28,2021-06-01,2021-06-01
"and Hansen Garcia Wise,",1,1,1,48407.40,48407.45,75.0,16,2023-04-27,2023-04-27
"and Hansen Sosa, Weiss",1,1,1,10604.30,10604.28,66.0,29,2022-12-28,2022-12-28
"and Hansen, Smith Santiago",1,1,1,5298.47,5298.47,35.0,2,2020-01-02,2020-01-02
and Hanson Sons,1,1,1,3659.81,3659.81,50.0,6,2022-05-26,2022-05-26
"and Hanson, Rich Jennings",1,1,1,32191.10,32191.12,85.0,9,2022-06-25,2022-06-25
"and Hardin Buck, Weaver",1,1,1,31174.70,31174.68,80.0,10,2022-05-19,2022-05-19
"and Hardy Harris, Mitchell",2,1,1,89717.60,44858.81,28.5,16,2019-05-09,2019-05-09
"and Hardy Morris, Reid",1,1,1,27723.90,27723.93,30.0,11,2022-02-01,2022-02-01
"and Hardy, Sanchez Johnson",1,1,1,26321.90,26321.90,68.0,13,2022-12-28,2022-12-28
"and Harmon Brown, Cabrera",1,1,1,50081.10,50081.13,25.0,13,2022-05-04,2022-05-04
"and Harmon Bruce Hernandez,",1,1,1,23842.10,23842.13,25.0,5,2024-04-03,2024-04-03
"and Harmon Ramirez, Perez",1,1,1,8838.57,8838.57,49.0,26,2020-04-26,2020-04-26
"and Harmon Sampson, Thompson",1,1,1,48834.10,48834.14,83.0,24,2023-02-23,2023-02-23
"and Harmon Smith, Davis",1,1,1,38654.20,38654.20,75.0,29,2021-04-09,2021-04-09
"and Harmon, Willis Frey",1,1,1,20610.90,20610.92,47.0,20,2022-08-21,2022-08-21
"and Harper Mcdonald, Sullivan",2,1,1,52809.70,26404.84,38.5,6,2023-03-01,2023-03-01
"and Harper Rivera Hays,",1,1,1,15088.80,15088.81,39.0,13,2024-04-07,2024-04-07
and Harper Sons,2,2,2,12245.30,6122.66,48.5,19,2020-08-12,2023-02-16
"and Harrell, Sanford Barrett",2,1,1,32137.30,16068.64,77.0,13,2019-09-14,2019-09-14
"and Harrell, Webb Moore",1,1,1,19551.00,19550.98,41.0,21,2020-04-07,2020-04-07
"and Harrington Baldwin Sanders,",1,1,1,47369.30,47369.26,42.0,16,2020-06-08,2020-06-08
"and Harrington Warner Johnson,",1,1,1,22911.70,22911.72,80.0,2,2019-08-15,2019-08-15
"and Harris Brewer, Young",1,1,1,20170.80,20170.81,47.0,2,2020-12-25,2020-12-25
"and Harris Bridges Cherry,",1,1,1,27025.20,27025.25,23.0,25,2021-07-14,2021-07-14
"and Harris Burton Richardson,",1,1,1,1602.33,1602.33,21.0,6,2024-03-21,2024-03-21
"and Harris Jones, Lopez",1,1,1,12484.70,12484.71,74.0,20,2021-05-26,2021-05-26
"and Harris Maxwell Scott,",1,1,1,36112.60,36112.59,33.0,27,2021-03-11,2021-03-11
"and Harris Miller, Hawkins",1,1,1,8394.74,8394.74,65.0,24,2022-12-06,2022-12-06
"and Harris Ortega Macias,",1,1,1,29662.40,29662.44,79.0,19,2022-08-30,2022-08-30
"and Harris Pearson, Jenkins",1,1,1,28003.10,28003.10,35.0,15,2023-03-03,2023-03-03
"and Harris Roberts Russell,",1,1,1,31742.90,31742.92,51.0,14,2021-05-20,2021-05-20
and Harris Sons,3,3,3,133354.00,44451.38,61.3,13,2020-03-18,2023-03-05
"and Harris Thomas Smith,",1,1,1,3928.56,3928.56,61.0,19,2020-08-26,2020-08-26
"and Harris Underwood Hernandez,",1,1,1,6202.07,6202.07,70.0,6,2020-01-12,2020-01-12
"and Harris Velazquez Thompson,",1,1,1,27508.10,27508.09,77.0,18,2020-06-02,2020-06-02
"and Harris Wang, Clark",2,1,1,87649.30,43824.66,75.0,16,2020-06-08,2020-06-08
"and Harris Williams Bernard,",1,1,1,43111.50,43111.49,59.0,2,2020-08-20,2020-08-20
"and Harris Wilson Pham,",1,1,1,24711.00,24710.98,74.0,29,2021-07-27,2021-07-27
"and Harris, Drake Allen",1,1,1,38816.70,38816.68,71.0,7,2023-12-15,2023-12-15
"and Harris, Huang Travis",1,1,1,31447.00,31446.98,64.0,6,2019-05-27,2019-05-27
"and Harris, Morgan Wilkinson",1,1,1,27978.20,27978.22,26.0,27,2022-10-25,2022-10-25
"and Harrison Frank Silva,",2,1,1,62834.80,31417.42,33.5,26,2021-12-06,2021-12-06
"and Harrison Galvan, Shields",1,1,1,39741.50,39741.50,51.0,6,2021-06-11,2021-06-11
"and Harrison Stafford, Neal",1,1,1,22167.10,22167.08,82.0,11,2020-03-18,2020-03-18
"and Harrison, Wood Burns",1,1,1,19941.40,19941.41,19.0,4,2021-02-16,2021-02-16
"and Hart Browning Hill,",1,1,1,24192.10,24192.13,38.0,29,2023-10-06,2023-10-06
"and Hart Buchanan, Hall",1,1,1,6358.67,6358.67,41.0,19,2023-07-03,2023-07-03
"and Hart Clark White,",1,1,1,10905.40,10905.44,21.0,1,2023-09-15,2023-09-15
"and Hart Schaefer Carlson,",1,1,1,34618.90,34618.94,41.0,8,2021-10-30,2021-10-30
"and Hart Whitaker Lopez,",2,1,1,33168.20,16584.10,86.0,25,2020-12-07,2020-12-07
"and Hart, Miller Hines",1,1,1,26036.10,26036.08,37.0,18,2021-02-01,2021-02-01
"and Hart, Young Obrien",1,1,1,30483.00,30483.02,43.0,14,2022-06-09,2022-06-09
"and Hartman Payne Schultz,",2,1,1,92956.60,46478.31,18.0,17,2019-11-14,2019-11-14
"and Hartman Williams Rose,",2,1,1,82008.20,41004.11,78.5,15,2021-09-28,2021-09-28
"and Hartman, Miller Brown",2,1,1,98439.60,49219.79,42.0,19,2021-03-28,2021-03-28
"and Hartman, Miller Ford",1,1,1,39754.80,39754.78,29.0,11,2021-08-23,2021-08-23
"and Harvey Reynolds Brooks,",1,1,1,11190.20,11190.18,34.0,30,2020-04-25,2020-04-25
"and Harvey Watson Chambers,",1,1,1,13250.30,13250.28,39.0,3,2020-07-13,2020-07-13
"and Harvey, Meyer Shaw",1,1,1,33411.70,33411.70,68.0,4,2022-05-12,2022-05-12
"and Hatfield Cobb Clark,",1,1,1,5355.41,5355.41,49.0,5,2019-10-25,2019-10-25
"and Hatfield Mann, Strong",1,1,1,22690.60,22690.60,54.0,11,2021-01-25,2021-01-25
"and Hatfield Taylor, Romero",2,1,1,4169.24,2084.62,58.5,26,2019-09-28,2019-09-28
"and Hawkins Bryant Fowler,",1,1,1,16675.80,16675.85,77.0,17,2021-02-17,2021-02-17
and Hawkins Sons,3,3,2,92120.10,30706.69,68.3,15,2021-02-20,2023-05-31
"and Hawkins, Ferguson Gomez",1,1,1,29642.70,29642.66,80.0,2,2021-02-27,2021-02-27
"and Hawkins, Jackson Charles",1,1,1,14581.20,14581.19,18.0,20,2023-04-25,2023-04-25
"and Hawkins, Smith Montgomery",1,1,1,21378.20,21378.23,18.0,19,2022-06-21,2022-06-21
