"Hospital","Medical Condition","patient_count","average_patient_age","total_billing_amount","average_billing_amount","average_length_of_stay"
"Cunningham, Larsen Alexander and",Cancer,1,43,11604.30,11604.27,7
"Cunningham, Miles and Hansen",Asthma,1,27,30553.40,30553.41,27
"Cunningham, Moreno Wilson and",Asthma,1,41,38158.00,38158.01,7
"Cunningham, Thomas Wilkinson and",Arthritis,1,71,38467.20,38467.22,30
"Cunningham, Woods Ruiz and",Arthritis,1,53,17214.50,17214.52,15
Curry-Atkins,Asthma,1,40,33827.00,33827.04,6
Curry-Beard,Cancer,1,71,14151.60,14151.61,24
Curry-Burns,Arthritis,1,78,7228.48,7228.48,18
Curry-Harvey,Cancer,1,38,18965.90,18965.89,17
Curry-Kelley,Cancer,1,83,43127.60,43127.58,20
Curry-Kim,Hypertension,1,73,28579.90,28579.93,22
Curry-Mendoza,Diabetes,1,22,34566.60,34566.61,24
Curry-Porter,Hypertension,2,67,25241.30,12620.64,3
Curry-Reid,Diabetes,1,55,16456.00,16456.01,30
Curry-Reyes,Arthritis,1,79,27014.70,27014.68,1
Curry-Rodriguez,Arthritis,1,76,9609.12,9609.12,2
Curry-Wood,Cancer,1,69,11244.90,11244.89,3
"Curry and Baldwin, Yang",Hypertension,1,47,49261.20,49261.20,24
"Curry and Gonzales, Thompson",Cancer,1,80,9659.20,9659.20,19
Curry and Sons,Cancer,1,68,9242.58,9242.58,29
Curry and Sons,Obesity,1,64,13423.70,13423.69,24
"Curry Fields, and Miller",Diabetes,1,81,49928.80,49928.81,10
"Curry Harris and Jackson,",Arthritis,1,59,48329.40,48329.37,3
Curry LLC,Cancer,1,75,25424.70,25424.73,9
Curry LLC,Obesity,1,47,47734.40,47734.37,27
"Curry Macdonald, and Peterson",Diabetes,1,46,2035.29,2035.29,30
"Curry Miller and Padilla,",Cancer,1,68,20909.80,20909.85,30
Curry PLC,Cancer,1,27,34270.30,34270.34,3
Curry PLC,Obesity,1,52,44343.40,44343.35,21
"Curry Richardson, Riley and",Diabetes,1,30,40538.30,40538.27,10
"Curry Rivera and Todd,",Hypertension,1,44,21433.30,21433.27,22
"Curry Robbins, Reeves and",Hypertension,1,33,32569.40,32569.36,24
"Curry Smith, and Bryant",Asthma,1,28,15047.50,15047.46,23
Curry Sons and,Arthritis,2,26,58437.20,29218.58,30
Curry Sons and,Hypertension,2,34,44706.20,22353.10,16
"Curry, and Taylor Nixon",Arthritis,1,25,8383.64,8383.64,16
Curtis-Conway,Asthma,1,70,5135.02,5135.02,4
Curtis-Cox,Arthritis,1,53,27903.90,27903.95,1
Curtis-Harris,Asthma,1,61,3415.06,3415.06,25
Curtis-Hensley,Arthritis,1,54,26715.30,26715.28,10
Curtis-Hernandez,Cancer,3,33,66142.30,22047.43,11
Curtis-Hurley,Obesity,1,60,17233.60,17233.57,17
Curtis-Lin,Obesity,1,62,14549.50,14549.49,12
Curtis-Salazar,Hypertension,2,76,61333.60,30666.81,12
Curtis-Schwartz,Obesity,1,54,47086.20,47086.19,7
Curtis-Washington,Hypertension,1,60,13714.80,13714.85,17
Curtis-Winters,Obesity,1,37,47115.00,47114.98,13
"Curtis and Ayala, Gould",Hypertension,1,85,40822.80,40822.80,9
"Curtis and Brown Horn,",Arthritis,1,46,48026.70,48026.71,16
"Curtis and Bryant Lowery,",Arthritis,2,45,75049.30,37524.67,24
"Curtis and Sanders Harrington,",Arthritis,2,28,50624.20,25312.11,3
"Curtis Gonzalez Townsend, and",Diabetes,2,50,42098.90,21049.47,9
Curtis Group,Asthma,1,46,43860.90,43860.94,30
Curtis Inc,Cancer,1,84,1366.79,1366.79,8
Curtis LLC,Cancer,1,36,4262.28,4262.28,13
Curtis PLC,Arthritis,1,56,15311.30,15311.27,6
Curtis PLC,Cancer,2,45,73139.30,36569.67,24
"Curtis Roth, Williams and",Asthma,1,74,27798.20,27798.22,8
Curtis Sons and,Cancer,1,23,46153.60,46153.58,18
"Curtis Wallace and Ali,",Asthma,1,31,34553.10,34553.12,24
"Curtis Wolfe, and Jenkins",Hypertension,1,69,14831.70,14831.72,6
"Curtis, Jones and Mcgee",Arthritis,1,76,41516.80,41516.83,21
"Curtis, Summers and Miller",Cancer,1,20,19223.60,19223.62,8
Dalton-Collins,Hypertension,1,68,10084.40,10084.44,1
Dalton-Davis,Asthma,2,46,33039.40,16519.72,14
Dalton-Davis,Cancer,2,25,63803.30,31901.66,11
Dalton-Jones,Asthma,1,39,47999.30,47999.29,10
Dalton-Martinez,Obesity,1,42,25427.40,25427.40,19
Dalton-Shelton,Diabetes,1,84,46402.20,46402.22,21
Dalton-Stephenson,Diabetes,1,75,24728.80,24728.79,4
"Dalton Dennis, and Mathis",Obesity,1,81,47349.60,47349.64,11
Dalton Group,Asthma,1,49,29520.60,29520.59,29
"Dalton Hall, Williams and",Cancer,1,43,5327.03,5327.03,1
Dalton Inc,Asthma,1,42,30416.60,30416.61,28
Dalton Inc,Diabetes,1,55,5068.53,5068.53,11
Dalton LLC,Arthritis,1,79,47249.40,47249.42,23
Dalton LLC,Hypertension,1,70,30543.20,30543.20,9
Dalton Ltd,Cancer,1,57,13227.30,13227.32,17
"Dalton Moreno, and Compton",Diabetes,1,66,21383.90,21383.95,11
Daniel-Adams,Obesity,1,41,34530.60,34530.55,30
Daniel-Anderson,Asthma,1,61,33606.60,33606.64,10
Daniel-Lane,Asthma,1,83,23356.30,23356.31,24
Daniel-Mccarthy,Asthma,1,73,7196.11,7196.11,13
Daniel-Murillo,Arthritis,1,75,24872.30,24872.35,5
"Daniel and Smith, Logan",Arthritis,1,43,21682.50,21682.54,9
Daniel Group,Diabetes,1,66,22930.80,22930.79,28
Daniel Inc,Diabetes,2,22,24099.50,12049.75,16
Daniel Inc,Hypertension,1,50,7330.01,7330.01,13
"Daniel Johnson, and Dominguez",Asthma,1,26,7563.69,7563.69,10
Daniel LLC,Cancer,2,66,24495.80,12247.90,6
Daniel LLC,Hypertension,1,20,1422.19,1422.19,29
"Daniel Lopez, Bates and",Arthritis,1,53,24014.30,24014.28,20
Daniel Ltd,Arthritis,1,74,32390.40,32390.42,25
Daniel Ltd,Asthma,1,84,7196.75,7196.75,6
Daniel Ltd,Diabetes,1,66,27351.00,27350.98,28
Daniel PLC,Cancer,2,21,92525.90,46262.93,14
"Daniel Reed and Brady,",Diabetes,2,70,11915.50,5957.74,4
Daniel Sons and,Diabetes,1,35,31817.80,31817.77,25
"Daniel, and Mcknight Holmes",Arthritis,1,37,32461.70,32461.74,14
"Daniel, and Williams Lawrence",Arthritis,1,26,13274.20,13274.22,7
"Daniel, Trujillo and Gonzalez",Diabetes,1,80,50290.20,50290.21,21
Daniels-Castaneda,Asthma,1,21,43750.60,43750.65,4
Daniels-Chang,Asthma,1,85,43124.10,43124.11,18
Daniels-Chen,Arthritis,1,45,29389.70,29389.69,10
Daniels-Guzman,Diabetes,1,20,30292.70,30292.73,21
Daniels-Higgins,Diabetes,1,26,38138.40,38138.43,23
Daniels-Holland,Asthma,1,40,2055.73,2055.73,4
Daniels-Lopez,Hypertension,2,73,35875.30,17937.65,29
Daniels-Lowe,Hypertension,1,64,45242.40,45242.39,12
Daniels-Owens,Diabetes,1,68,45020.20,45020.22,2
Daniels-Patterson,Obesity,1,25,38727.70,38727.66,11
Daniels-Pham,Cancer,1,70,15063.80,15063.83,7
Daniels-Pope,Obesity,1,74,8099.82,8099.82,13
Daniels-Powell,Cancer,2,65,68405.40,34202.72,1
Daniels-Reynolds,Diabetes,1,66,31114.40,31114.37,8
Daniels-Rodriguez,Arthritis,1,79,46789.70,46789.74,25
Daniels-Rodriguez,Diabetes,1,85,36007.80,36007.79,23
Daniels-Romero,Obesity,1,22,7062.45,7062.45,8
Daniels-Simmons,Obesity,2,83,43028.90,21514.47,30
Daniels-Thomas,Asthma,1,63,17607.50,17607.47,13
Daniels-Vargas,Asthma,1,75,38981.40,38981.37,8
Daniels-Wheeler,Cancer,1,64,48795.40,48795.45,30
Daniels-Young,Cancer,1,55,40354.10,40354.05,12
"Daniels and Best Shaffer,",Hypertension,1,34,29967.90,29967.93,19
"Daniels and Contreras Howell,",Asthma,1,57,33806.10,33806.11,25
"Daniels and Ewing, Morris",Diabetes,1,20,3287.66,3287.66,16
"Daniels and Mcpherson, Baker",Arthritis,1,61,51297.60,51297.57,25
"Daniels and Page, Hood",Asthma,1,63,46212.00,46212.00,20
"Daniels and White, Hamilton",Hypertension,1,33,20296.90,20296.94,11
"Daniels and Williams Novak,",Obesity,2,43,91767.00,45883.49,14
"Daniels Goodwin and Bennett,",Arthritis,1,34,2423.48,2423.48,4
Daniels Group,Asthma,1,59,29982.60,29982.56,28
Daniels Group,Diabetes,1,71,5195.78,5195.78,2
Daniels Group,Hypertension,1,24,13299.50,13299.45,18
Daniels Inc,Diabetes,1,32,10582.00,10581.96,22
"Daniels Johnson and Jones,",Hypertension,1,29,23596.00,23595.98,24
Daniels LLC,Asthma,2,25,77731.20,38865.60,29
Daniels Ltd,Asthma,1,37,1510.92,1510.92,5
"Daniels Moore Lloyd, and",Cancer,1,71,31408.20,31408.16,28
"Daniels Moss Smith, and",Hypertension,1,76,2226.32,2226.32,7
"Daniels Nguyen, and Padilla",Diabetes,1,42,13270.20,13270.18,7
"Daniels Rogers, and Hunter",Asthma,1,36,39012.10,39012.08,26
"Daniels Serrano, Smith and",Diabetes,1,48,16424.10,16424.07,14
"Daniels, and Clark Foley",Asthma,2,49,16684.10,8342.05,23
"Daniels, and Weaver Parks",Hypertension,1,23,7805.19,7805.19,22
"Daniels, Jones and Brock",Asthma,1,48,4010.09,4010.09,6
"Daniels, Martin Knapp and",Hypertension,1,23,46927.10,46927.06,22
"Daniels, Nguyen Alvarez and",Obesity,1,83,13489.50,13489.46,30
Daugherty-Miller,Obesity,2,83,4477.88,2238.94,17
Daugherty-Singleton,Hypertension,1,83,43810.10,43810.14,27
Daugherty-Small,Hypertension,1,85,35847.40,35847.44,25
Daugherty-Smith,Asthma,1,43,34698.30,34698.29,16
"Daugherty and Lowe, Durham",Cancer,1,71,29672.10,29672.07,27
"Daugherty and Mclean, Parsons",Diabetes,1,64,26523.00,26522.98,11
"Daugherty and Robinson, Wood",Obesity,1,84,21022.60,21022.63,28
Daugherty Group,Hypertension,1,65,6020.55,6020.55,4
"Daugherty Gutierrez, and Morgan",Cancer,1,25,34276.60,34276.57,3
"Daugherty Parks, Macdonald and",Cancer,1,18,9034.41,9034.41,8
"Daugherty, Frank Harris and",Diabetes,1,26,31670.80,31670.78,27
Davenport-Bentley,Arthritis,1,81,49348.70,49348.67,28
Davenport-Hurst,Arthritis,1,35,8323.57,8323.57,23
Davenport-King,Arthritis,1,60,18348.50,18348.46,26
Davenport-Martin,Arthritis,1,45,31019.20,31019.17,26
Davenport-Robinson,Asthma,1,65,25975.20,25975.17,21
Davenport-Simpson,Diabetes,1,75,38025.80,38025.75,1
Davenport and Sons,Arthritis,1,58,29629.40,29629.36,17
Davenport and Sons,Diabetes,1,25,22929.10,22929.09,8
"Davenport Green, and Walker",Asthma,1,20,38788.60,38788.65,24
"Davenport Henry Burns, and",Diabetes,1,40,31865.70,31865.69,3
"Davenport Hernandez Sweeney, and",Asthma,1,42,6712.80,6712.80,2
"Davenport Lucero, Brooks and",Arthritis,1,47,19991.60,19991.63,10
Davenport PLC,Cancer,1,29,29914.90,29914.87,22
"Davenport, Baker Robinson and",Arthritis,1,58,9847.65,9847.65,29
"Davenport, Rivera and Yates",Cancer,1,72,2073.83,2073.83,13
David-Campbell,Arthritis,1,51,24377.50,24377.49,3
David-Duncan,Arthritis,1,56,10585.20,10585.22,15
David-Johnson,Cancer,1,31,9167.98,9167.98,10
David-Sellers,Arthritis,1,49,14735.40,14735.41,2
David-Simon,Arthritis,1,83,22800.80,22800.79,4
"David and Byrd Alexander,",Cancer,1,20,6293.25,6293.25,2
David and Sons,Cancer,2,76,61577.30,30788.66,25
"David Gomez, Mcclain and",Diabetes,1,32,49115.10,49115.09,17
David Inc,Hypertension,2,68,49391.10,24695.57,3
David LLC,Hypertension,1,80,2861.91,2861.91,7
David PLC,Cancer,1,19,30997.10,30997.11,17
David Sons and,Hypertension,1,68,20356.70,20356.72,19
David Sons and,Obesity,1,39,45259.60,45259.58,23
"David, Cunningham and Shaffer",Obesity,1,31,15076.60,15076.56,2
"David, Hess Rivera and",Diabetes,1,55,19483.00,19482.99,27
Davidson-Arnold,Arthritis,1,72,36645.90,36645.87,22
Davidson-Davis,Diabetes,1,35,24695.10,24695.12,25
Davidson-Davis,Obesity,1,80,23926.20,23926.16,1
Davidson-Fuller,Asthma,1,38,9548.63,9548.63,15
Davidson-Henderson,Diabetes,1,26,3403.09,3403.09,14
Davidson-James,Arthritis,1,80,40876.50,40876.49,20
Davidson-James,Diabetes,1,23,42160.00,42160.03,25
Davidson-Keith,Asthma,1,75,21432.20,21432.18,20
Davidson-King,Cancer,1,74,12114.20,12114.19,8
Davidson-Martin,Arthritis,1,51,37998.10,37998.12,11
Davidson-Mendez,Arthritis,1,29,8431.60,8431.60,18
Davidson-Moore,Cancer,1,46,38031.90,38031.91,8
Davidson-Peters,Diabetes,1,75,42752.10,42752.08,21
Davidson-Reed,Diabetes,1,18,41526.70,41526.70,30
Davidson-Shaw,Arthritis,1,18,28513.20,28513.18,4
Davidson-Shaw,Asthma,1,70,28081.00,28080.98,10
Davidson-Smith,Obesity,1,55,32775.20,32775.25,1
Davidson-Wade,Arthritis,1,70,36306.60,36306.65,29
Davidson-Wilkerson,Asthma,1,65,26704.60,26704.60,22
Davidson-Woodward,Hypertension,1,74,23867.20,23867.24,6
"Davidson and Hines Mullins,",Arthritis,1,50,2622.54,2622.54,4
"Davidson and Lane, Maldonado",Arthritis,1,66,39510.30,39510.29,20
Davidson and Sons,Diabetes,1,79,2780.22,2780.22,11
"Davidson Bryant Hoover, and",Diabetes,2,68,84434.00,42217.01,25
Davidson Group,Cancer,1,78,22880.50,22880.51,26
Davidson Group,Diabetes,2,59,58771.60,29385.81,25
Davidson Inc,Arthritis,2,64,41693.30,20846.64,16
Davidson Inc,Cancer,1,26,9610.45,9610.45,4
Davidson LLC,Cancer,1,39,33362.00,33362.04,25
Davidson LLC,Diabetes,1,42,39222.60,39222.65,19
Davidson LLC,Hypertension,1,50,39102.30,39102.30,19
Davidson Ltd,Arthritis,1,57,34650.10,34650.11,20
Davidson PLC,Arthritis,1,24,10200.90,10200.93,17
Davidson PLC,Diabetes,1,53,35349.80,35349.76,1
Davidson PLC,Hypertension,4,39,173173.00,43293.33,26
"Davidson Smith and Wright,",Arthritis,1,66,4715.87,4715.87,2
"Davidson Stein, Jones and",Diabetes,1,77,10114.90,10114.92,7
"Davidson, and Powers Bradshaw",Obesity,1,46,15160.30,15160.35,13
"Davidson, Bennett and Taylor",Cancer,1,74,17504.00,17503.97,6
"Davidson, Richards and Grant",Diabetes,1,31,42415.90,42415.95,26
"Davidson, Ross Baker and",Arthritis,1,21,33933.90,33933.89,20
Davies-Ford,Cancer,1,51,12026.50,12026.54,19
Davies-Jones,Arthritis,1,70,41551.20,41551.20,17
Davies-Murphy,Hypertension,1,66,27669.60,27669.61,14
Davies-Robinson,Obesity,1,43,45279.70,45279.66,12
"Davies Coleman, and Mckenzie",Arthritis,1,55,43724.40,43724.38,11
"Davies Lopez and Fritz,",Diabetes,1,55,36473.00,36472.97,5
"Davies, and Wyatt Shaffer",Asthma,2,48,85513.40,42756.70,1
"Davies, Swanson and Romero",Diabetes,1,38,17013.50,17013.50,21
Davila-Carpenter,Hypertension,1,64,36157.30,36157.28,29
Davila-Castaneda,Diabetes,1,66,34719.80,34719.78,3
Davila-Fleming,Obesity,1,25,40317.30,40317.27,1
Davila-Harding,Hypertension,1,34,10653.50,10653.47,17
"Davila and Aguilar, Wiggins",Hypertension,2,20,5049.44,2524.72,26
"Davila Gallagher and Anderson,",Cancer,1,74,23981.50,23981.51,11
Davila Group,Arthritis,2,63,39789.90,19894.96,22
Davila Ltd,Cancer,1,43,5005.78,5005.78,20
"Davila White, and Bowman",Diabetes,1,26,40239.70,40239.74,26
"Davila, and Reyes Mccoy",Obesity,1,56,3068.06,3068.06,29
Davis-Aguirre,Diabetes,1,47,17839.00,17839.02,4
Davis-Alexander,Arthritis,2,58,71105.80,35552.89,16
Davis-Alexander,Hypertension,1,39,40450.80,40450.81,29
Davis-Andrews,Obesity,1,55,22786.10,22786.08,2
Davis-Arroyo,Asthma,2,40,18667.70,9333.86,9
Davis-Baker,Diabetes,1,57,17232.70,17232.70,8
Davis-Bates,Hypertension,2,56,100883.00,50441.63,7
Davis-Bell,Asthma,1,46,22482.90,22482.88,2
Davis-Bell,Cancer,1,44,45625.20,45625.24,12
Davis-Bennett,Hypertension,1,49,39636.50,39636.48,29
Davis-Benton,Obesity,1,64,45799.90,45799.86,13
Davis-Bishop,Diabetes,1,46,43354.30,43354.29,8
Davis-Brennan,Cancer,1,59,33350.70,33350.67,4
Davis-Briggs,Asthma,1,83,37348.10,37348.14,13
Davis-Briggs,Diabetes,1,34,32960.70,32960.74,15
Davis-Brown,Arthritis,1,78,43476.50,43476.46,30
Davis-Brown,Asthma,1,60,32707.00,32707.02,16
Davis-Brown,Diabetes,1,70,41728.00,41727.96,5
Davis-Burch,Asthma,1,61,11918.00,11918.05,1
Davis-Butler,Arthritis,1,76,24855.30,24855.26,17
Davis-Caldwell,Asthma,1,51,2956.21,2956.21,3
Davis-Cameron,Arthritis,1,34,11787.20,11787.24,24
Davis-Campbell,Obesity,1,48,19965.10,19965.07,4
Davis-Carlson,Arthritis,1,69,38684.70,38684.68,8
Davis-Carroll,Obesity,1,22,16034.00,16033.98,7
Davis-Coleman,Asthma,1,25,37945.80,37945.81,8
Davis-Collins,Hypertension,1,45,19097.80,19097.76,6
Davis-Colon,Hypertension,1,59,13028.30,13028.26,30
Davis-Compton,Cancer,1,54,3577.22,3577.22,29
Davis-Contreras,Diabetes,2,49,11681.10,5840.54,27
Davis-Cooke,Obesity,2,37,95000.90,47500.46,7
Davis-Crawford,Asthma,1,21,38228.40,38228.39,25
Davis-Cunningham,Hypertension,1,30,50226.80,50226.84,13
Davis-Daniels,Asthma,1,78,30672.90,30672.86,20
Davis-Daugherty,Arthritis,1,24,4624.15,4624.15,11
Davis-Davis,Diabetes,1,25,35685.30,35685.30,22
Davis-Dean,Diabetes,1,63,37223.20,37223.21,12
Davis-Doyle,Arthritis,1,44,12980.00,12980.01,4
Davis-Duran,Cancer,1,38,49751.50,49751.54,2
Davis-Erickson,Hypertension,1,49,12294.80,12294.77,30
Davis-Evans,Obesity,2,65,33454.50,16727.23,14
Davis-Farrell,Obesity,1,53,11739.90,11739.89,16
Davis-Fernandez,Obesity,2,41,85155.90,42577.94,27
Davis-Figueroa,Diabetes,1,82,10622.60,10622.61,20
Davis-Flowers,Diabetes,1,42,46754.90,46754.90,27
Davis-Franklin,Cancer,1,66,42543.80,42543.78,11
Davis-Frazier,Arthritis,1,44,9299.03,9299.03,13
Davis-Freeman,Asthma,1,69,23031.20,23031.25,10
Davis-Freeman,Diabetes,1,32,25874.50,25874.50,25
Davis-Freeman,Obesity,1,83,10280.70,10280.70,6
Davis-Fritz,Diabetes,1,80,46369.50,46369.54,10
Davis-Garcia,Hypertension,1,48,12389.50,12389.48,19
Davis-Gay,Cancer,1,33,43423.70,43423.70,24
Davis-Gentry,Diabetes,1,60,47461.80,47461.81,18
Davis-Gibbs,Arthritis,1,53,4083.30,4083.30,30
Davis-Gill,Cancer,1,25,36181.40,36181.38,15
Davis-Gomez,Asthma,1,52,23364.00,23364.00,29
Davis-Grant,Cancer,1,62,45253.10,45253.13,6
Davis-Hansen,Arthritis,1,57,50049.10,50049.12,9
Davis-Hardin,Obesity,2,78,39891.80,19945.90,1
Davis-Harrell,Diabetes,2,43,62295.50,31147.73,12
Davis-Harris,Asthma,1,67,31269.60,31269.59,8
Davis-Hicks,Hypertension,2,86,58355.50,29177.76,2
Davis-Hobbs,Diabetes,1,39,22607.30,22607.26,16
Davis-Hooper,Cancer,1,54,37315.90,37315.89,19
Davis-Howard,Hypertension,2,83,53053.50,26526.73,17
Davis-Hunt,Diabetes,1,34,12415.00,12414.99,19
Davis-Ibarra,Hypertension,1,66,43987.50,43987.53,14
Davis-Ingram,Cancer,1,19,14098.30,14098.32,26
Davis-Jackson,Hypertension,1,55,11540.30,11540.31,9
Davis-Jones,Asthma,1,55,10647.00,10647.04,25
Davis-Joyce,Cancer,1,23,8765.89,8765.89,11
Davis-Kirk,Asthma,1,23,33428.60,33428.63,21
Davis-Knight,Asthma,1,34,20751.00,20750.97,26
Davis-Larson,Arthritis,1,50,41933.80,41933.82,9
Davis-Larson,Asthma,1,26,23021.10,23021.05,29
Davis-Lawrence,Obesity,2,16,64039.80,32019.91,5
Davis-Lee,Diabetes,1,73,8572.07,8572.07,20
Davis-Levy,Diabetes,1,58,31065.20,31065.19,15
Davis-Love,Hypertension,1,54,24461.50,24461.50,11
Davis-Lowe,Obesity,1,53,48239.40,48239.38,18
Davis-Luna,Cancer,2,46,86615.80,43307.92,21
Davis-Mann,Arthritis,2,64,28927.20,14463.60,30
Davis-Martin,Asthma,1,73,35751.00,35750.96,23
Davis-Martin,Diabetes,1,37,41548.10,41548.15,29
Davis-Martinez,Hypertension,1,64,45064.20,45064.22,13
Davis-Martinez,Obesity,1,34,14817.90,14817.87,1
Davis-May,Obesity,1,38,5113.67,5113.67,8
Davis-Mays,Diabetes,2,49,93037.80,46518.91,21
Davis-Mcdonald,Cancer,1,19,28874.70,28874.71,22
Davis-Mcpherson,Asthma,1,60,46469.90,46469.86,24
Davis-Meyer,Asthma,1,35,23083.30,23083.29,11
Davis-Miller,Cancer,1,35,44856.80,44856.81,14
Davis-Montoya,Hypertension,1,18,2921.10,2921.10,15
Davis-Moore,Hypertension,2,24,77491.20,38745.61,6
Davis-Moore,Obesity,1,29,11835.70,11835.69,12
Davis-Moran,Cancer,2,79,23792.70,11896.36,22
Davis-Morgan,Obesity,1,53,13128.60,13128.61,22
Davis-Moyer,Diabetes,2,78,19560.90,9780.44,30
Davis-Neal,Arthritis,2,20,97215.90,48607.95,2
Davis-Newman,Hypertension,1,36,1667.55,1667.55,29
Davis-Nguyen,Diabetes,1,46,34599.40,34599.41,5
Davis-Norman,Hypertension,1,85,32148.40,32148.44,3
Davis-Oliver,Hypertension,1,43,48800.10,48800.06,27
Davis-Olson,Arthritis,1,21,45882.10,45882.07,26
Davis-Owens,Obesity,1,70,22928.40,22928.43,15
Davis-Padilla,Asthma,1,64,25066.50,25066.52,13
Davis-Parker,Hypertension,1,71,22122.80,22122.79,4
Davis-Patterson,Diabetes,2,57,70072.50,35036.25,15
Davis-Pearson,Diabetes,1,62,46565.60,46565.65,3
Davis-Peters,Obesity,1,30,31845.40,31845.38,8
Davis-Potter,Diabetes,1,36,19272.00,19271.96,15
Davis-Ramirez,Obesity,1,63,33093.30,33093.30,3
Davis-Ramos,Asthma,1,26,24061.20,24061.19,17
Davis-Reynolds,Hypertension,1,30,48052.90,48052.87,6
Davis-Richardson,Hypertension,1,62,41883.50,41883.47,2
Davis-Riley,Obesity,1,60,13121.30,13121.33,2
Davis-Rivas,Arthritis,1,18,43878.20,43878.19,7
Davis-Rivera,Asthma,1,24,30721.10,30721.13,4
Davis-Robinson,Diabetes,1,26,15649.70,15649.65,18
Davis-Rodriguez,Diabetes,1,70,29606.10,29606.09,8
Davis-Roman,Hypertension,1,65,43537.80,43537.75,15
Davis-Sanchez,Arthritis,4,62,39675.20,9918.81,9
Davis-Sanchez,Diabetes,1,73,11496.30,11496.33,24
Davis-Scott,Obesity,1,24,41526.20,41526.19,3
Davis-Serrano,Asthma,2,17,74368.80,37184.41,15
Davis-Sexton,Asthma,1,38,31462.30,31462.27,15
Davis-Sharp,Asthma,1,18,48467.10,48467.11,24
Davis-Sharp,Obesity,1,40,27461.60,27461.55,20
Davis-Simmons,Arthritis,1,51,46259.30,46259.31,19
Davis-Simmons,Diabetes,2,30,22164.50,11082.26,6
Davis-Simpson,Asthma,2,68,9363.02,4681.51,17
Davis-Simpson,Obesity,1,85,13883.50,13883.50,9
Davis-Smith,Diabetes,2,39,41150.60,20575.29,16
Davis-Stevens,Asthma,1,61,35455.20,35455.21,17
Davis-Stokes,Arthritis,1,40,38038.90,38038.86,24
Davis-Thomas,Hypertension,3,40,87147.20,29049.07,12
Davis-Townsend,Arthritis,1,31,4002.45,4002.45,1
Davis-Tucker,Obesity,1,55,29208.30,29208.29,6
Davis-Turner,Cancer,1,61,2169.82,2169.82,30
Davis-Warren,Cancer,1,40,7453.25,7453.25,26
Davis-Washington,Cancer,1,40,47161.10,47161.05,28
Davis-Waters,Diabetes,1,48,25133.50,25133.51,9
Davis-Watts,Asthma,1,32,49361.10,49361.10,5
Davis-West,Cancer,1,39,6906.34,6906.34,7
Davis-Wilkinson,Arthritis,1,22,16375.70,16375.66,2
Davis-Williams,Asthma,1,76,31535.90,31535.89,4
Davis-Willis,Cancer,1,30,33911.20,33911.17,26
Davis-Wilson,Cancer,1,28,25313.10,25313.06,8
Davis-Young,Diabetes,1,80,4543.00,4543.00,14
"Davis Acosta Gray, and",Cancer,1,53,35455.20,35455.21,7
"Davis Adams Summers, and",Diabetes,2,51,24033.30,12016.66,21
"Davis and Andersen Allen,",Diabetes,1,64,7175.12,7175.12,5
"Davis and Banks, Morrison",Cancer,1,55,28769.30,28769.29,14
"Davis and Duran Miller,",Diabetes,1,80,30100.50,30100.52,7
"Davis and Gallagher Joseph,",Hypertension,1,19,47361.60,47361.56,23
"Davis and Graham, Warner",Obesity,1,45,16251.80,16251.82,11
"Davis and Gutierrez Freeman,",Hypertension,1,31,30554.90,30554.93,25
"Davis and Haley, Collins",Diabetes,1,52,43167.40,43167.42,5
"Davis and Hamilton, Taylor",Diabetes,1,30,16387.30,16387.33,23
"Davis and Henderson, Henderson",Cancer,1,37,6316.87,6316.87,2
"Davis and Jackson, Spence",Obesity,1,75,27633.30,27633.32,16
"Davis and Jordan, Turner",Diabetes,1,60,31369.70,31369.71,8
"Davis and Kelly Hale,",Diabetes,2,63,55390.90,27695.43,29
"Davis and Lawrence Davis,",Arthritis,1,58,5853.99,5853.99,26
"Davis and Lewis Dillon,",Arthritis,1,43,10497.80,10497.80,10
"Davis and Livingston, Allen",Asthma,1,55,44421.40,44421.35,22
"Davis and Murphy, Chan",Diabetes,1,38,21285.10,21285.07,22
"Davis and Page Riley,",Asthma,1,30,48637.90,48637.85,12
"Davis and Pineda, Haynes",Obesity,1,46,31920.90,31920.92,4
"Davis and Roberts Jensen,",Obesity,1,26,15271.10,15271.11,8
"Davis and Robinson, Ross",Asthma,1,74,11756.80,11756.82,25
"Davis and Rodriguez Smith,",Arthritis,1,22,49079.10,49079.09,11
Davis and Sons,Asthma,2,45,84654.10,42327.04,17
Davis and Sons,Cancer,1,20,27602.90,27602.86,7
Davis and Sons,Obesity,1,38,24911.80,24911.79,13
"Davis and Taylor, Higgins",Diabetes,1,42,17481.60,17481.58,14
"Davis and Wilkins, Castillo",Cancer,1,49,42839.30,42839.29,30
"Davis and Woodard, Hamilton",Cancer,1,53,27739.30,27739.28,3
"Davis Anderson and Obrien,",Obesity,1,35,45381.00,45381.03,30
"Davis Bailey Logan, and",Cancer,1,26,35348.50,35348.47,11
"Davis Berger, Rosales and",Arthritis,1,85,35150.10,35150.09,27
"Davis Bishop, Thomas and",Cancer,1,74,34058.70,34058.67,26
"Davis Bond and Watson,",Arthritis,1,50,42385.50,42385.51,29
"Davis Bradley and Perkins,",Diabetes,1,62,36711.70,36711.67,22
"Davis Burch, Anderson and",Diabetes,2,34,87733.50,43866.76,10
"Davis Burnett and Carlson,",Cancer,1,81,46317.90,46317.89,25
